UID	dby    DBY7286 Low-Pi vs. High-Pi||dby    	pho4c  PHO4c vs. wild type||pho4c  	pho80  pho80 mutant vs wild type||pho80  	"pho81  PHO81c vs. wild type, exp.1||pho81  "	"pho812 PHO81c vs. wild type, exp.2||pho812 "	pho85  pho85 delete vs. wild type||pho85  	"lowpho NBW7 strain High-Pi vs. Low-Pi, exp.2||lowpho "	"nbw    NBW7 strain low-Pi vs. High-Pi, exp.1||nbw    "
YLR156W	0.53	0.29	0.36	0.69	0.68	0.59	0.75	0.27
YML054C	0.91	0.2	-1.3	-0.62	0.33	-0.27		0.37
YNL161W	0.12	0	-0.6	-0.33	0.02	-1.09	0.45	0.11
YOR106W	-0.23	-0.27	-0.23	-0.12	-0.39	-1.35	-0.68	-0.01
YLR158C	0.55	-0.13	0.39	0.68	0.39	0.53	1.03	0.01
YML057W	0.75	0.48	-0.79	0.02	0.73	-0.69	0.39	0.17
YOR108W	-0.35	0.52	-0.29	0.19	-0.09	-0.96	0.48	0.15
YLR160C	0.64	-0.23	0.44	0.7	0.43	1.07	0.86	0.06
YML059C	1.04	0.01	-1.36	-0.99	1.08	-1.2	0.27	1.88
YNL165W	-0.29	-0.06	-0.38	0.12	-0.16	-0.76	-0.32	-0.02
YOR110W	0.13	0.22	-0.52	0.17	0.11	-0.49	0.27	-0.12
YLR162W	0.39	-0.43	-0.37	0.03	0.3	0.27	0.77	0.34
YML061C	0.27	0.21	-1.07	-0.58	0.34	-1.64	0.15	-0.23
YNL167C	0.46	0.05	-0.26	0.27	0.14	-0.68	0.4	0.23
YOR112W	0.26	0.01	-0.28	-0.12	-0.05	-1.12	-0.18	0.27
YML063W	-0.2	-0.42	-0.3	-0.03	-0.31	-1.1	0.42	-0.25
YNL169C	0.21	0.31	-0.49	0.11	0.09	-0.6	0.37	-0.17
YOR114W	-0.11	-0.11	-0.17	0.77	-0.11	-0.59	-2.28	0.15
YML065W	-0.1	0.05	-0.98	-0.84	-0.01	-1.65	0.44	0.08
YNL171C	0.02	0.23	-0.94	0.08	0.13	-0.72	0.14	-0.23
YOR116C	-0.18	0	-0.71	-1.24	0.01	-1.14	0.08	0.31
YML081W	0.59	0.25	-1.04	-0.22	0.89	-1.11	-0.01	0.39
YNL185C	-0.11	-0.15	-0.3	0.2	-0.19	-0.88	0.13	-0.18
YOR130C	-0.23	0.1	-0.58	0.55	-0.14	-0.39	-0.19	-0.23
YML083C	0.24	-0.37	-0.94	-0.35	0.09	-0.18	4.86	0.07
YNL187W	-0.16	0.26	-0.5	0.13	-0.11	-0.55	-0.38	-0.01
YOR132W	0.49	0.33	0.2	0.57	0.29	-0.34	0.13	0.04
YML074C	0.09	0.09	0.64	0.7	0.61	-0.19	0.51	0.04
YNL178W	-0.42	-0.41	0.24	0.49	-0.04	-0.41	0.61	-0.12
YOR123C	-0.23	-0.22	0.12	0.05	-0.11	-0.44	-0.25	-0.08
