UID	dby    DBY7286 Low-Pi vs. High-Pi||dby    	pho4c  PHO4c vs. wild type||pho4c  	pho80  pho80 mutant vs wild type||pho80  	"pho81  PHO81c vs. wild type, exp.1||pho81  "	"pho812 PHO81c vs. wild type, exp.2||pho812 "	pho85  pho85 delete vs. wild type||pho85  	"lowpho NBW7 strain High-Pi vs. Low-Pi, exp.2||lowpho "	"nbw    NBW7 strain low-Pi vs. High-Pi, exp.1||nbw    "
YPL020C	0.07	-0.08	-0.47	-0.1	-0.03	-0.53	0.22	-0.1
YHR033W	1.35	0.43	-0.11	0.07	0.67	-0.19	0.2	-0.42
YJR136C	0.16	0.01	-0.2	0.28	0.09	0.09	0.32	-0.19
YLR342W	-0.17	-0.25	-0.68	0.21	0.25	-0.34		-0.35
YPL022W	0.36	0.04	-0.69	-0.64	0.4	-0.14	0.25	0.42
YDR378C	0.28	-0.01	0.12	1.07	0.2	0.1	0.8	0.21
YGL200C	0.21	-0.34	0.06	0.51	-0.05	-0.05	0.82	0.03
YIL138C	0.03	-0.9	0.15	0.44	-0.23	-0.13	0.62	0.22
YKR073C	0.38	0.48	-0.37	1	0.76	-0.25	1.14	-0.1
YOL140W	-0.31	0.57	-0.57		0.28	-0.72	0.41	-0.26
YDR380W	0.61	0.32	0.75	1.42	0.6	0.77	-0.12	-0.03
YGL202W	0.11	0.48	0.02	0.49	0.46	-0.23	1.07	-0.21
YIL140W	0.24	0.02	0.53	0.67	-0.1	-0.56	0.17	0.29
YKR075C	0.31	-0.04	-0.14	0.19	0.08	-0.62	1	0.15
YMR096W	0.11	0.19	-0.59	0.94	0.04	0.01		-0.15
YOL142W	-0.2	-0.04	0.02	-0.22	-0.14	-0.71	0.01	-0.3
YPR067W	0.53	-0.07	-0.59	0.76	0.02	0.06		0.04
YDR382W	-0.06	-0.71	0.05	0.36	-0.05	-0.58	1.18	-0.04
YIL142W	0.01	0.04	0.02	0.3	0.04	-0.88	0.37	-0.2
YKR077W	-0.16	-0.21	-0.12	0.59	0.24	-0.48	0.66	0.09
YMR098C	0.19	0.21	-0.69	-0.12	0.15	-0.4		0.05
YOL144W	-0.75	-0.35	-0.23	-0.54	-0.23	-0.99	-0.3	0.13
YDR384C	-1.16	0.1	-0.45	0.01	-0.15	-0.7	0.32	-0.5
YIL144W	0.11	-0.02	0.07	0.7	0.13	-0.51	0.34	-0.12
YKR079C	-0.21	-0.23	-0.25	1.99	0.91	1.05	0.3	-0.14
YMR100W	0.55	0.23	-0.38		0.31	-0.57	0.5	0.23
YOL146W	-0.19	0.01	-0.04	-0.11	-0.09	-0.58	-3.36	-0.06
YML103C	0.32	0.38	-0.01		0.27	0.08	-0.01	0.32
YDR386W	-0.04	-0.3	-0.15	-0.06	-0.07	0.02	0.17	-0.07
YGL061C	0.14	-0.25	0.18	-0.09	-0.05	-0.16	0.25	0.03
YIL146C	0.24	0.22	-0.19	-0.03	0.4	-0.19	0.02	0.21
YKR081C	-0.76	-0.21	-0.12	-0.33	0.26	-1.2	0.38	-0.23
YOL148C	0.1	-0.2	-0.09	-0.38	-0.09	-0.62	0.22	0.13
YPR073C	0.17	-0.27	-0.07	0.68	-0.17	0.01	0.46	0.03
NORF 25	0.14	0.1	-0.35	0.81	-0.09	-0.28	0.58	-0.4
YDR388W	0.24	0.24	-0.21	0.12	1.01	-0.12	0.81	0.18
YGL077C	-0.07	0.11	0.28	-0.04	-0.19	-0.99	0.22	0.01
YIL148W	-0.48	-0.92	0.07	0.1	-0.53	-0.47	0.59	0.04
YKR083C	-0.07	-0.24	0	0.1	0.62	-0.56	1.21	0.14
YMR104C	0.55	-0.65	-0.45	-0.09	0.16	-0.41		1.03
YOL150C	1.56	0.04	-0.08	0.95	0.11	-0.98	1.56	-0.24
YPR075C	0.18	-0.34	-0.23	0.85	-0.05	-0.32		-0.16
NORF 27	1.34	1.15	-1.09	0.89	-0.36	3.77	0.15	1.8
YDR426C	0.41	0.19	-0.41	0.1	0.57	0.13	0.72	0.03
YGL093W	0.5	0.18	0.2	-0.3	0.2	-0.52	0.1	0.2
YIR009W	0.11	0.05	-0.42	0.67	0.04	-0.08	0.44	-0.11
YLL015W	-0.13	-0.06	-0.6	0.54	0.1	-0.51	-0.1	0.07
YMR147W	-0.02	0.26	-0.13		0.27	-0.06	-0.19	0.23
YOR022C	0.42	0.17	-0.2	-0.43	0.07	-0.37	-0.39	-0.12
YPR113W	0.13	-0.2	-0.06	0.45	-0.14	-0.43	0.73	-0.19
NORF 29	0.14	-0.29	-0.41	0.47	-0.29	-0.49	0.38	0.22
YDL165W	-0.09	0.04	0.08	-0.24	0.15	-0.61	0.24	-0.38
YDR428C	0.16	0.07		-0.14	0.19	-0.08	1.14	-0.14
YGL250W	0.81	0.11	-0.2	1.71	0.38	0.55	0.48	-0.17
YGL109W	-0.18	-0.33	0.3	-0.23	-0.09	-0.23	0.21	0.07
YIR011C	-0.1	-0.26	-0.12	0.35	-0.16	-0.4	0.42	-0.08
YLL017W	0.38	-0.12	-0.05	-0.43	0.12	0.24	0.41	0.01
YMR149W	0.35	-0.26	0.22	1.04	0	-0.37	0.92	0.15
YOR024W	0.02	-0.4	-0.44	-3.32	0.95	-0.33	-1.39	0.1
NORF 31	-0.55	-1.11	-2.91		-0.46	-0.71	0.28	0.03
YMR273C	0.54	0.57	0.93	0.37	0.44	-0.51	0.36	-0.03
YDL181W	0.52	-0.21	0.53		0	1.49	0.81	0.2
YGL125W	0.18	0.15	0.26	0.03	-0.03	-0.82	0.15	-0.12
YIR013C	-0.27	-0.17	-0.31	0.21	0.1	-0.35	0.4	-0.23
YLL019C	0.33	-0.14	-0.22	0.11	0.59	-0.16	0.51	-0.37
YMR151W	0.48	0.04	-0.63		0.02	0.13	-0.7	0.14
YOR026W	0.03	0.22	0.01	-0.16	-0.04	-0.43	-0.4	0.46
NORF 33	0.28	-1.67	-0.65		0.16	-0.55	0.64	0.29
YDL197C	0.14	-0.15	0.85		0.33	0.2	0.43	0.16
YDR432W	0.05	-0.62	-0.38	-0.41	-0.14	-0.14	1.37	0.75
YGL254W	0.15	-0.33	-0.15	0.67	-0.05	-0.27	0.4	-0.08
YGL141W	0.25	-0.16	-0.01	-0.91	0.5	-1.07	0.05	-0.45
YIR015W	0.28	0.01	-0.56		0.41	0.16	0.84	0.75
YLL021W	0.15	-0.21	-0.15	0.2	0.41	-0.14	0.39	-0.22
YMR153W	-0.3	-0.06	-0.39	1.18	-0.01	-0.7	0.27	0
YOR028C	1.69	-0.48	-0.19	-0.01	-0.52	-0.29	0.87	0.14
NORF 35	0.66	0.01	-0.17	0.24	0.46	0.29	0.78	0.2
YPR119W	-0.22	-0.38	-0.53	-1.17	-0.9	-1.57	-0.31	0.23
YDR434W	0.41	0.21	-0.01	0.58	0.14	0.19	1.31	0.2
YGL065C	0.25	0.06	0.22	0.14	0.17	-0.46	0.48	0.07
YIR017C	0.32	0.23	-0.53		0.49	0.62	-0.02	-0.26
YLL023C	-0.05	-0.12	0.21	0.35	0.34	-0.67	0.58	-0.01
YMR155W	0.54	0.14	-0.24		0.12	-0.37	0.57	-0.14
YOR030W	0.72	-0.12	0.05	-0.38	0.21	-0.26	0.48	0.23
YPR121W	0.4	0.11	-0.37		0.16	-0.15	0.17	0.09
YDL137W	0.36	-0.24	0.2	0.26	-0.03	0.01	0.48	-0.19
YDR436W	0.79	0.13	-0.09	0.99	0.49	0.42	0.97	0.25
YGL081W	0.35	-0.23	0.02	-0.58	-0.07	0.32	-0.12	0.07
YGL258W	0.14	-0.02	-0.59	0.04	0.31	0.39	0.53	-0.29
YIR019C	0.05	0.03	-0.77	0.26	0.38	-0.25	0.39	-0.17
YLL025W	0.37	-0.1	0.13	0.6	0.25	-0.12	0.72	0.03
YMR157C	0.14	0.26	-0.22		0.1	-0.13	-0.07	-0.05
YOR032C	1.01	0.03	0.51	0.04	0.51	-0.66	0.35	0.43
YPR052C	0.17	-0.06	0.15		0.22	-0.55	1.42	0.09
YPR123C	0.09	0.2	-0.6		-0.02	-1.18	0.19	0.34
YDL153C	-0.98	-0.03	0.37	-0.59	0.17	-1.58	0.65	-0.03
YBL027W	-0.35	-0.22	-0.26	0.38	-0.06	0.09	0.53	-0.1
YDL158C	-0.18	-0.24	-0.13	0.53	-0.04	-0.29	0.4	-0.54
YGL097W	-0.33	0.05	0.07	-0.16	-0.09	-0.97	-0.28	-0.23
YKL158W	-0.02	-0.4	-0.25		0.16	0.21	-0.07	0.01
YMR079W	0.56	0.47	0.18	0.35	0.17	-0.97	0.59	0.2
YDL169C	0.31	-0.43	-0.4	-0.88	0.35	-0.57	0.46	-0.42
YGL113W	-0.28	-0.18	-0.04	-0.58	0.19	-0.76	0.21	-0.03
YBL029W	-0.33	-0.17	-0.2	0.29	-0.03	0.5	0.51	-0.04
YDL160C	0.52	0.01	0.08	0.15	0.13	-3.29	0.21	-0.01
YER055C	0.86	1.28	1.57	4.11	1.7	0.96	1.94	0.48
YGL129C	0.2	-0.07	0.21	-0.01	0.14	-0.66	0.8	-0.03
YBL031W	-0.17	-0.12	-0.04	0.3	0.1	-0.11	0.26	-0.07
YDL162C	-0.12	-0.2	-0.48		-0.52	-0.46	-1.21	-0.41
YER056C	-0.55	0.07	0.17	0.57	-0.43	-0.37	0.17	-0.04
YDL201W	-0.76	-0.19	1.36		-0.02	-0.63	0.53	-0.15
YBL033C	-0.09	-0.04	-0.22	0.14	0.15	-0.1	0.49	-0.08
YER058W	-0.13	-0.35	-0.26		-0.02	0.02	0.67	-0.12
YMR225C	0.23	-0.03	0.1	0.11	-0.02	-0.54	0.4	0.1
YBL035C	0	0.04	-0.33	0.13	0.17	-0.11	0.37	-0.1
YDL166C	-0.64	-0.29	-0.19	-0.1	-0.34	-1.71	0.01	-0.33
YER060W	-0.14	-0.01	0.28		-0.15	0.46	1.54	-0.03
YMR256C	0.4	0.12	0.18	0.3	0.02	-0.82	0.16	-0.78
YBL037W	-0.02	0.04	-0.32	0.28	0.23	-0.07	0.36	0.06
YER062C	1.69	1.04	1.23	2.77	1.49	1.54	2.31	0.56
YBL075C	-0.05	-0.02	-0.16	-0.02	0.17	0.68	0.89	0.11
YPR164W	-0.2	-0.27	-0.34	-0.94	0.22	-0.58	-0.18	-0.07
YBL077W	0.08	0.02	0.13	0.39	0.16	0.64	0.58	0.06
YDL208W	-0.78	-0.39	-0.17	-0.62	-0.28	-0.69		0.15
YPR196W	0.2	0.14	0.06	-1.04	0.48	-0.11	1.06	-0.37
YBL079W	0.06	0.19	0	0.25	0.3	0.21	0.74	0.04
YDL210W	0.25	0.07	-0.76		-0.24	-0.46	-0.14	-0.09
YBL081W	0	0.08	0.08	0.17	0.19	-0.4	0.62	0.03
YER105C	0.21	-0.42	-0.16	-0.45	-0.04	-0.4	0.43	0.34
YBL083C	0.02	-0.04	-0.12	0.27	0.15	-0.08	0.54	0.07
YER107C	-0.29	-0.04	-0.26	-0.1	0.12	-1.1	0.38	-0.18
YER109C	0.05	-0.36	-0.39	-0.46	0.37	-0.81	0.16	-0.28
YBR291C	0.27	-0.6	-0.25	0.63	0.17	1.15	0.35	0.01
YGL116W	-0.61	-0.14	-0.26	-0.29	-0.32	-0.7	0.2	0.24
YBR293W	-0.06	0.07	-0.18	0.53	-0.09	0.93	1.25	-0.02
YGL118C	-0.39	-0.17	-0.58		-0.43	-0.06	0.06	0.34
YBR295W	-0.17	-1.71	-0.11	0.24	0.29	-0.62	1.96	-0.47
YGL120C	-0.62	0.04	0.1	0.05	0.05	-1.02	0.36	0.03
YJL113W	0.14	-0.17	-0.2	-0.07	0.21	-0.04	0.86	0.03
YBR297W	0.81	0.53	0.44	0.64	1.08	1.65	0.45	0.13
YBR299W	0.64	0.09	0.05	0.42	0.47	1.02	0.7	-0.28
YGL253W	0.64	0.36	0.43	0.99	0.21	-0.14	1.56	0.09
YJL206C	0.16	0.08	-0.48	0.38	0.02	-0.17	-0.15	-0.32
YBR301W	0.38	0.08	-0.31	0.14	0.73	-0.06	0.98	-0.03
YDR077W	1	0.18	1.01	0.75	0.79	1.12	1.55	0.53
YGR006W	-0.03	-0.18	0.2	0.09	-0.01	-0.67	-0.2	-0.34
YJL207C	0.23	0.05	-0.02	-0.48	0.32	-0.05	0.23	0.31
YCL038C	-0.26	-0.28	0.11	0.21	0.27	-0.54	0.23	-0.12
YGL164C	0.69	-0.26	1.45	-0.92	1.06	0.11		0.73
YGR022C	-0.03	-1.43	0.11	-0.17	-0.52	-1.06	0.56	0.47
YCL040W	1.15	0.46	0.41	1.12	1.02	0.96	0.22	-0.06
YDR109C	-0.01	0.01	-0.16	-0.2	0.01	-1.17	0.18	0.28
YGR038W	0.38	0.23	-0.46	1.09	0.44	-0.02	-0.4	0.2
YCL042W	1.1	0.53	0.34	0.91	0.87	0.22	1.45	0.4
YGL233W	0.44	0.02	0.06		0.53	-0.08	1	0.69
YDR125C	0.09	0.01	-0.2	0.01	0.3	0.2	0.64	-0.07
YGR054W	0.25	0.04	0.21	0.71	0.36	-0.46	0.07	-0.17
YCL044C	0.15	0.17	-0.28	-0.73	0.45	-0.48	0.07	0.01
YGR060W	0.69	-0.09	0.24	0.44	0.64	0.25	0.54	0.2
YDL029W	0.41	0.08	0.53		0.28	3.07	0.91	-0.03
YGR070W	0.28	-0.13	-0.05	-0.04	-0.03	-0.41	-0.16	-0.02
YCL046W	0.34	0.18	0.23	0.12	0.33	-0.63	0.86	0.05
YIL155C	0.36	0.55	-0.37	-0.02	0.5	-0.89	0.12	-0.07
YDR081C	-0.04	0.13	0.04	-0.41	0.11	-1.16	0.65	-0.22
YGR010W	-0.9	-0.07	0.09		-0.28	0.26	1.57	-3
YHL037C	-0.33	0.04	-1.01		-0.34	0.61	-0.37	-0.08
YJR090C	0.25	-0.13	-0.53	-0.7	0.25	-0.77	0.56	0.52
YOR370C	-0.19	0.1	0.05	0.04	-0.42	-0.96	0.14	-0.05
YDR097C	-0.18	0.05	-0.02	0.23	0.4	-1.46	0.47	0.35
YCR018C	-0.48	-0.29	0.24	2.1	0.28	-0.37	0.79	0.22
YER044C	0.68	0.29	0.64	1.82	1.47	0.15	1.85	-0.27
YGR026W	0.4	-0.22	0.48		-0.02	-0.44	0.51	-0.22
YDR008C	0.1	0.06	-0.51	0.72	0.06	0.02	0.19	-0.41
YHL039W	-0.46	0.15	-0.03	-0.05	-0.05	-0.98	0	-0.07
YJR092W	0.17	0.03	-0.76	-1.04	0.26	0.98	0.51	0.33
YLR298C	-0.15	-0.47	0.07	0.06	-0.24	-0.14	0	-0.04
YDR113C	-0.03	-0.15	-0.31	-0.34	-0.07	-1.04	-0.29	-0.12
YOR372C	0.36	0.14	0.14	0.05	0.04	-0.99	0.52	0.38
YGR042W	0.41	-0.6	0.23		1.43	-0.01	-0.55	-0.3
YDR010C	-0.08	-0.28	-0.64	0.19	0.14	-0.1	-0.06	-0.23
YJL073W	0.37	0.23	0.02	0	0.46	-0.69	0.35	-0.12
YER151C	-0.2	-0.07	-0.44	-0.54	0.05	-0.75		0.21
YHL041W	-0.17	0.1	-0.71		0.43	-0.02	-0.33	-0.25
YJR094C	0.19	0.07	-0.3	1.29	-0.26	-0.69	0.45	-0.11
YDR129C	0.29	0.32	0.11	1.17	0.71	-0.82	0.49	-0.03
YLR300W	0.56	-0.31	0.75	0.35	-0.06	-0.15	0.94	0.2
YGR058W	0.27	0.18	0.6	0.8	0.16	-0.09	0.82	0.05
YOR374W	1.31	0.28	0.06	0.78	-0.1	0.79	0.51	-0.42
YER153C	0.11	-0.11	-1.08	-0.39	0.48	-1.2		0.01
YHL043W	0.53	-0.2	-0.12	1.44	0.43	0.4	0.52	0.03
YJR096W	0.91	-0.14	-0.26	0.4	0.32	0.22	0.56	0.15
YDR145W	-0.13	-0.11	0.21	0.25	0.27	-0.49	1.04	0.15
YLR302C	0.62	-0.05	-0.01		0.39	0.08	0.87	0.65
YGR074W	0.12	0.12	0.03	-0.06	0.08	-0.62	-0.07	0.17
YOR376W	0.14	0.58	-0.39	1.84	-0.28	-0.61	-1.28	-0.6
YJL127C	0.1	-0.19	-0.17	-0.15	0.12	-0.89	0.06	-0.05
YDL083C	-2.1	-0.31	0.36	0.36	0	-0.29	0.8	-0.09
YHL045W	0.03	-0.3	-0.76		0.49	-0.39	0.37	0.34
YJR098C	0.1	-0.14	-0.49	-0.38	0.04	-0.67	-0.17	0.09
YLR304C	0.92	0.67	0.27	1.04	0.37	0.1	1.29	0.33
YOR378W	-0.35	0.1	-0.23	-0.33	-0.22	-0.88	-0.23	0.61
YCR045C	0.01	-0.57	1.06	0.37	0.35		0.52	0.26
YER157W	0.05	0.15	-0.56	-0.1	-0.12	-0.86		0.03
YHL047C	0.2	0.86	-0.63	-0.3	0.52	0.53	1.07	-0.48
YJR100C	0.23	0.04	-0.24	0.33	0.21	-0.22	0.13	-0.01
YLR306W	0.34	0.45	-0.52	0.66	0.34	0.48	0.08	-0.03
YOR380W	0.04	0.34	-0.27	0.03	0.03	-0.17	-0.29	0.07
YDR054C	0.32	0.01	-0.05	0.02	-0.08	-0.83	0.45	-0.05
YHR035W	-0.7	-0.52	-0.81	-0.85	-0.09	-1.2	-0.24	-0.56
YLR344W	0.27	-0.4	-1.6	-1.06	0.32	2.46	0.39	1.15
YPL024W	0.06	0.41	-0.25	0.49	0.16	-0.38	0.06	-0.26
YDR056C	0.04	-0.43	0.14	0.1	-0.24	-0.8	0.4	0.04
YHR037W	-1.02	-0.65	-0.7	0.03	0.08	-0.81	0.14	-0.54
YJR140C	0.04	-0.44	-0.36	-0.73	0.14	-0.81	-0.29	0.45
YLR346C	1.47	-0.03	-0.83	0	1.19		0.03	-0.83
YPL026C	1.08	0.42	-0.36	0.46	0.16	-0.52	0.8	0.46
YDR058C	0.67	-0.02	-0.05	0.67	0.26	0.22	0.43	-0.01
YHR039BC	-0.07	-0.48	0.21	-0.03	0.03	-0.19	0.6	-0.21
YJR142W	0.25	0.09	0.15	0.51	0.08	0.06	0.42	0
YLR348C	0.07	0.26	-0.97	0.46	0.21	-1.63	-0.03	-0.01
YPL028W	0.39	0.5	-0.16	0.55	0.8	-0.58	1.07	-0.33
YFL009W	0.23	-0.43	-0.22	-0.26	-0.25	-0.6	0.76	0.67
YHR040W	-1.1	0.15	-0.29	-0.38	-0.07	-0.69	-0.3	-0.23
YJR144W	-0.16	-0.38	0.16	0.23	-0.29	-0.8	0.09	0.01
YLR350W	0.56	-0.04	-0.13	1.19	0.5	-0.45	0.66	-0.19
YPL030W	0.14	0.61	-0.97	1.75	0.74		0.19	0.21
YDR119W	-0.27	0.33	0.15	0.62	0.2	-0.6	0.47	0.19
YDR062W	0.35	0.18	0.27	0.08	0.3	-0.83	0.99	0.08
YFL010C	0.03	0.11	-0.26	1.12	0.44	0.01	0.34	-0.39
YHR042W	0.05	0.5	0.11	0.28	1.13	-1.03	0.59	0.13
YJR146W	-0.03	0.51	-0.7	-0.28	0.46	-0.27	0.05	-0.01
YLR352W	0.73	0.25	-0.74	0.67	0.71	-0.55	0.09	0.11
YPL032C	0.61	0.45	-0.52	0.16	0.21	-1.14	0.26	0.14
YFL012W	0.06	-0.2	-0.97		-0.32	-0.34	-0.62	-0.28
YHR044C	0.47	-0.11	-0.11	0.2	0.38	-0.45	0.53	-0.37
YJR148W	0.13	0.49	-0.74	-0.46	0.04	-0.98	-0.43	-0.09
YLR354C	0.54	0.7	0.21	1.71	0.66	0.15	1	-0.07
YPL034W	0.16	-0.29	-0.36	-0.51	-0.2	-0.28	0.21	-0.13
YDR390C	-0.05	-0.03	-0.08	-0.3	-0.03	-1.04	-0.06	0.2
YGL212W	0.39	0.35	-0.43	-0.05	0.17	-0.45	-0.37	0.02
YIL150C	-0.18	-0.58	-0.44	-2.23	-0.31	-1.03	-0.09	0.22
YKR085C	-0.2	-0.51	0.05	0.08	-0.32	-0.67	0.23	-0.02
YOL152W	1.33	-0.18	-0.57	0.07	0.11	-0.86	-0.57	0.38
YDR392W	0.1	-0.19	0.05	0.28	0	-0.35	0.08	0.01
YGL214W	-0.08	-0.58	-0.24	0.28	0.23	-0.6	0.15	-0.21
YIL152W	0.24	-0.07	-0.18	-0.02	0.1	-0.55	0.61	-0.13
YKR087C	0.39	0.15	-0.18	0.6	0.45	-0.01	0.67	0.41
YMR108W	-0.32	0.47	-0.61	-0.2	0.03	-0.94	-0.14	0.05
YOL154W	0.05	-0.07	-0.19	0.45	-0.01	-0.19	-1.13	-0.07
YPR079W	0.05	-0.01	-0.3	-0.1	-0.08	-1.24	-0.53	-0.28
YDR394W	0.25	-0.44	-0.23	0.35	-0.1	-0.55	0.44	-0.01
YGL216W	0.29	0.24	-0.25	0.02	0.07	-1.14	-0.13	0.06
YKR089C	0.45	-0.31	0.02	-0.13	-0.04	-1.04	0.56	0.08
YMR110C	0.83	0.24	-0.46	0.3	0.36	-0.52	0.38	0.14
YOL156W	0.54	0.01	-0.37	-0.11	0.06	0.26	-1.3	0.31
YPR081C	-0.1	0.15	-0.45	-0.02	0.01	-0.51	-0.52	-0.08
YDR396W	-0.17	0.17	0.15	0.7	-0.06	-0.53	-0.04	-0.06
YGL218W	0.05	0.09	-0.01	2.49	0.01	-0.39	-0.07	0.26
YIL156W	0.57	-0.07	0.3	0.17	0.5	-0.56	0.59	0.66
YMR112C	-0.09	-0.4	-0.52	-0.56	-0.27	-0.97	-0.15	-0.01
YOL158C	0.11	0.49	-0.26	-0.33	0.12	-0.44	0.68	0.03
YPR083W	-0.52	0.02	-0.64	0.11	-0.2	-1.26	-0.19	-0.04
YDR398W	-0.94	-0.12	-0.35	-0.39	-0.12	-1.16	-0.14	-0.33
YIL158W	-0.08	-0.37	0.02	0.09	0.07	-1.47	0.24	0.19
YKR093W	0.22	0.01	0.06	0.28	0.2	-0.28	0.7	-0.01
YMR114C	0.25	-0.25	-0.88	-0.1	0.01	-0.68		-0.1
YOL160W	0.12	0.02	-0.66	0	0.02	-0.45	-0.79	0.06
YPR085C	-0.07	0.33	-0.48	-0.1	-0.09	-0.75	-0.08	-0.32
YDR400W	0.53	0.16	0.02	0.73	0.45	-0.41	0.85	0.55
YIL160C	-0.27	-0.06	-0.58	-0.49	0.04	-1.2	-0.58	0.01
YKR095W	-0.67	-0.04	-0.41	-0.49	0.07	-0.67	0.37	-0.25
YMR118C	0.04	-0.05	-0.42	0.01	-0.03	-1	-0.2	-0.01
YOL162W	0.02	0.41	-0.95	0.32	0.4	0.89	-1.79	0.65
YPR087W	0.08	0.76	-0.21	0.47	0.2	-1.27	0.34	-0.36
NORF 37	0.42	0.44	-1.12	-0.36	0.69	-1.85	1.32	-0.34
YDR438W	0.41	0.09	-0.67	-0.23	0.13	-0.71		-0.05
YDL134C-A	0.2	-0.86	0.3	1.53	0.15	-0.02	0.31	2.52
YGL260W	0.32	0.02	-1.09	0.66	0.76	-0.14		0.01
YIR021W	0.01	0.01	-0.65	0.04	-0.02	-1.28	0.07	-0.07
YLL027W	0.28	0.14	0.19	0.25	0.42	-0.38	0.41	-0.08
YMR159C	0.43	-0.24	-0.27	0.05	0.08	-0.16	0.15	0.3
YOR034C	-0.02	0.33	-0.23	-0.11	-0.04	-0.72	0.3	0
NORF 39	0.51	0.55	-0.61	-0.19	0.48	-0.05	0.81	-0.15
YPR125W	0.81	0.29	-0.26	0.43	0.47	-0.8	0.39	-0.4
YDR440W	-0.23	-0.07	-0.43	-0.23	-0.03	-1.02		0.15
YIR023W	0.21	-0.07	-0.48	-0.17	0.08	-1.03	0.54	0.49
YLL029W	0.24	0.07	0.12	0.54	0.23	0.11	0.2	-0.06
YMR161W	0.23	-0.2	-0.3	-0.07	0.05	0.32	0.37	-0.35
YOR036W	0.4	-0.16	0.04	0.82	0.31	0.09	0.12	0.32
YPR127W	0.75	0.28	-0.3	0.44	0.34	0.03	0.39	-0.13
NORF 41	0.06	-0.36	-0.15	-0.27	-0.28	-0.3	0.51	-0.04
YDR442W	0.22	0.22	-0.62	1.34	0.39	-0.73		0.27
YGR001C	-0.08	0.19	-0.25	0.78	0.04	-0.19	0.15	-0.17
YIR025W	-0.22	0.03	-0.58	-0.1	0.08	-0.51	0.18	-0.11
YLL031C	1.28	0.03	0.07	0.84	0.27	0.78	1.06	0.72
YMR163C	0.51	0.1	-0.89	-0.21	0.2	-0.85	-0.01	-0.13
YOR038C	0.11	0.04	-0.51	-0.36	-0.13	-0.68	-0.14	0.2
YMR325C	0.33	0.07	-1.04	-0.01	0.71	-0.04	0.66	-0.15
YPR129W	0.11	0.19	-0.87	0.02	-0.03	0.24	0.09	-0.36
NORF 43	0.75	0.51	0.02	0.01	0.2	-0.74	0.42	0.26
YDR444W	-0.01	0.04	-0.59	-0.29	0.06	-0.79		0.06
YGR003W	0.04	0.17	-0.12	-0.01	0.13	-0.7	-0.21	0.18
YIR027C	0.17	0.16	-0.97	0.41	0.55	-0.01	0.19	0.45
YLL033W	0.07	-0.24	0.14	0.34	-0.04	-0.17	0.18	-0.07
YOR040W	0.04	-0.57	-0.08	0.29	-0.58	-0.07	-0.83	0.31
YPR131C	-0.05	0.43	-0.24	0.38	-0.05	-0.31	-0.08	-0.21
NORF 45	0.29	0.05	-0.22	-0.38	-0.03	-0.25	0.21	-0.47
YIR029W	0.09	0.17	-0.51		0.37	-0.17	0.27	-0.08
YLL035W	0.39	0.31	0.45	0.18	0.81	-0.6	0.51	0.28
YMR168C	0.56	0.71	-0.25	0.77	-0.01	-0.41	0.2	0.08
YOR042W	0.03	0.28	-0.13	0.49	0.24	-0.42	-0.18	-0.21
YPR133C	-0.26	0.38	-0.32	-0.41	0.17	-1.11	0.06	-0.25
NORF 47	0.65	0.31	-0.44	-0.36	0.2	-0.84	0.24	0.27
YDR448W	0.09	-0.69	-0.53	-1.46	-0.12	-0.57		0.53
YDL123W	-0.11	0.33	0	0.25	0.85	0.47	0.81	-0.35
YGR007W	0.1	-0.07	-0.59	0.26	0.04	-0.49	0.47	-0.13
YIR031C	0.44	-0.12	-0.36	0.03	-0.03	-0.1	0.25	0.12
YLL037W	1.57	0.75	0.68	1.09	0.85	0.71	2.21	0.37
YMR171C	0.8	0.05	-0.48	0.23	0.28	-1.12	0.43	-0.19
YOR044W	0.32	-0.28	-0.31	-0.14	-0.08	-0.31	-0.28	-0.14
YPR135W	-0.05	6.7	-0.66	-0.3	0.77	-0.76		0.06
YDL027C	0.91	0.01	0.38	1.17	0.47	0.57	0.78	0.06
YEL002C	0.36	-0.03	0.99	2.25	0.26	0.18	1.1	0.26
YJL087C	-0.42	0.31		-0.74	0.07	-0.77	0.43	-0.1
YMR281W	0.35	0.12	0.15	0.34	0.16	-0.28	0.18	-0.01
YOR143C	-0.29	-0.04	0.03	0.37	-0.19	-0.46	-0.58	-0.13
YMR175W	0.6	-0.01	0.3	0.12	0.78	-0.15	0.13	-0.05
YAL004W	0.82	-0.61	1.36	0.34	0.16	0.53	0.28	0.04
YEL004W	0.18	0.11	0.62	0.23	0.03	0.01	0.61	-0.1
YGR108W	0.2	-0.2	0.07	0.12	-0.04	-0.22	0.43	-0.08
YJL089W	0.13	-1.07		-3.56	1.67	-0.53	0.38	-0.25
YMR283C	0.08	0.06	0.1	0.25	-0.14	-0.19	-0.22	-0.24
YOR145C	-1.02	-0.26	0.05	0.01	-0.42	-1.28	-0.18	-0.14
YAL007C	0.58	0.06	0.42	0.38	0.24	-0.12	0.92	0.37
YDL031W	-0.61	0.18	0.16	-0.02	0.19	-1.28	0.56	0.12
YEL006W	0.28	0.15	0.3	0.22	0.28	-0.27	0.82	-0.17
YGR110W	0.21	-0.19	0.06	0.58	0.19	0.04	0.34	0.07
YJL091C	0.68	0.09	0.54	0.05	0.29	-0.56	1.05	0.16
